姓名,手机,部门,基础薪资,出勤天数,加班时长,培训时长,绩效得分
张伟,13875682867,销售部,7807.0,21,16.9,14.0,36.7
王芳,13866755036,研发部,7302.0,21,10.9,21.0,43.4
李娜,13866882282,研发部,8088.0,20,7.4,12.0,17.7
赵强,13831081788,HR部,11522.0,17,4.4,23.0,39.3
钱多多,13823315092,研发部,8607.0,21,21.0,30.0,49.0
孙悟空,13845788921,研发部,9365.0,18,120.0,24.0,97.3
陈大文,13836735830,销售部,7696.0,19,17.0,18.0,41.0
林平之,13841632483,HR部,8091.0,16,5.8,23.0,43.5
毛小旭,13886737383,研发部,8971.0,16,4.7,28.0,50.5
马化飞,13898358551,销售部,8189.0,20,6.2,28.0,51.4
员工_11,13898409749,市场部,5154.0,17,3.6,-50.0,0.0
员工_12,13814981505,研发部,9921.0,17,13.8,23.0,38.7
员工_13,13823953367,市场部,7077.0,21,7.0,19.0,32.8
员工_14,13895652971,研发部,11167.0,22,2.6,24.0,44.4
员工_15,13814521373,销售部,9030.0,15,23.0,22.0,40.8
员工_16,13813344769,销售部,8106.0,21,4.8,8.0,28.4
员工_17,13886893497,销售部,8659.0,19,7.8,18.0,38.6
员工_18,13840349564,研发部,7837.0,18,23.7,21.0,43.9
员工_19,13852860080,市场部,7270.0,16,9.8,13.0,24.2
员工_20,13887751354,研发部,8311.0,21,1.2,23.0,33.2
员工_21,13872250665,研发部,9327.0,15,28.1,12.0,38.1
员工_22,13876209791,研发部,7303.0,15,9.9,16.0,30.3
员工_23,13856792155,销售部,7067.0,21,4.1,27.0,46.3
员工_24,13831498555,销售部,7467.0,20,1.5,16.0,25.7
员工_25,13870221198,研发部,9428.0,16,15.8,23.0,47.5
员工_26,13889757501,销售部,10179.0,20,9.7,11.0,28.1
员工_27,13826861870,研发部,8543.0,18,7.6,30.0,49.7
员工_28,13862286002,销售部,8872.0,15,22.4,18.0,40.5
员工_29,13842049003,研发部,7055.0,15,15.5,20.0,42.3
员工_30,13871136438,销售部,9315.0,19,1.6,21.0,38.9
员工_31,13872194931,研发部,8828.0,18,3.7,23.0,40.6
员工_32,13875285250,HR部,6935.0,15,2.9,12.0,25.8
员工_33,13879537252,研发部,5318.0,18,13.6,20.0,31.4
员工_34,13869248434,研发部,6169.0,16,0.3,17.0,28.3
员工_35,13871306900,研发部,6996.0,17,8.4,12.0,31.8
员工_36,13865831368,HR部,9743.0,15,14.4,25.0,49.4
员工_37,13820959014,市场部,10329.0,19,20.9,18.0,37.2
员工_38,13866972561,研发部,7341.0,16,4.2,21.0,34.4
员工_39,13858900483,销售部,7388.0,21,17.2,21.0,43.1
员工_40,13830193880,市场部,8392.0,18,1.2,18.0,26.8
员工_41,13813385357,销售部,8018.0,21,18.7,30.0,46.6
员工_42,13854738553,销售部,9396.0,20,1.4,20.0,32.5
员工_43,13878574553,研发部,7215.0,16,5.1,12.0,20.5
员工_44,13826845364,研发部,9424.0,21,16.0,18.0,39.0
员工_45,13862157313,市场部,7641.0,22,1.6,22.0,26.9
员工_46,13821392366,HR部,9281.0,22,2.6,23.0,41.0
员工_47,13879778859,销售部,7593.0,15,12.8,15.0,28.8
员工_48,13898883975,研发部,7080.0,18,12.7,25.0,48.4
员工_49,13823479854,研发部,10868.0,17,10.2,11.0,27.8
员工_50,13883506850,市场部,9598.0,16,11.8,26.0,46.6
员工_51,13823187277,市场部,5312.0,15,7.8,13.0,23.9
员工_52,13878979792,市场部,7330.0,19,2.9,19.0,28.1
员工_53,13847709731,市场部,9807.0,20,4.2,25.0,54.3
员工_54,13836939239,销售部,6205.0,18,2.0,21.0,29.9
员工_55,13833027075,研发部,9156.0,16,23.9,24.0,55.0
员工_56,13891200125,研发部,9001.0,22,8.8,23.0,35.5
员工_57,13896191493,市场部,6951.0,16,5.1,26.0,42.6
员工_58,13897796277,销售部,7987.0,17,6.2,25.0,43.5
员工_59,13876401385,研发部,4865.0,22,29.4,18.0,41.0
员工_60,13832335235,研发部,10656.0,17,1.7,23.0,36.3
员工_61,13810271836,销售部,7536.0,19,8.8,12.0,25.0
员工_62,13813584702,研发部,9206.0,20,7.0,20.0,34.7
员工_63,13862631083,研发部,8921.0,19,9.5,24.0,54.5
员工_64,13818585377,销售部,10037.0,15,0.2,21.0,35.2
员工_65,13896544585,销售部,7350.0,15,20.6,22.0,46.7
员工_66,13895157821,销售部,8306.0,19,26.9,19.0,53.5
员工_67,13897655395,研发部,8839.0,20,8.3,26.0,39.8
员工_68,13827824013,市场部,9309.0,19,11.9,20.0,39.4
员工_69,13846601694,研发部,9732.0,20,25.6,18.0,42.8
员工_70,13877105583,研发部,7284.0,20,12.3,24.0,41.8
员工_71,13870304654,市场部,7004.0,21,1.7,13.0,22.6
员工_72,13844119117,销售部,10040.0,22,8.6,23.0,38.3
员工_73,13846433622,市场部,4944.0,18,9.3,15.0,28.6
员工_74,13899482491,销售部,10355.0,20,5.5,26.0,39.0
员工_75,13870031992,销售部,7547.0,17,13.3,19.0,41.9
员工_76,13865105831,研发部,7993.0,20,27.2,21.0,49.9
员工_77,13813366612,研发部,6976.0,20,26.0,22.0,43.9
员工_78,13868743503,研发部,7928.0,20,6.0,10.0,20.7
员工_79,13846258670,研发部,9907.0,21,1.2,17.0,32.3
员工_80,13879739572,HR部,9156.0,22,41.9,25.0,56.1
员工_81,13865848857,研发部,8739.0,21,18.3,24.0,55.7
员工_82,13867055419,市场部,8133.0,15,1.3,21.0,35.8
员工_83,13859160571,销售部,5832.0,21,25.4,13.0,36.1
员工_84,13878394024,市场部,6734.0,17,20.4,23.0,47.9
员工_85,13874525468,销售部,7485.0,17,7.3,24.0,37.0
员工_86,13899966606,销售部,8687.0,21,8.9,20.0,42.6
员工_87,13848727468,销售部,8104.0,22,5.1,26.0,42.4
员工_88,13861757120,研发部,9475.0,19,0.6,17.0,34.9
员工_89,13877157848,市场部,8710.0,18,4.1,17.0,30.2
员工_90,13887897542,研发部,8082.0,22,16.2,8.0,32.4
员工_91,13883665032,研发部,11414.0,21,0.0,25.0,43.4
员工_92,13895390464,销售部,8609.0,20,4.1,22.0,48.0
员工_93,13858170987,研发部,7352.0,16,5.1,12.0,22.5
员工_94,13862562567,HR部,10790.0,18,7.7,11.0,28.9
员工_95,13833717335,HR部,9801.0,18,25.2,16.0,36.4
员工_96,13870472382,HR部,10724.0,17,4.3,24.0,39.0
员工_97,13822719242,研发部,7834.0,18,4.3,18.0,34.7
员工_98,13858715250,研发部,9464.0,21,13.4,16.0,41.0
员工_99,13893139152,HR部,5821.0,20,6.0,15.0,41.6
员工_100,13854054178,销售部,9176.0,20,2.5,15.0,27.9
员工_101,13848334882,HR部,7763.0,15,6.0,10.0,18.1
员工_102,13862441466,HR部,5967.0,20,1.5,14.0,27.3
员工_103,13859583876,市场部,9549.0,22,1.9,15.0,22.9
员工_104,13896117865,研发部,5285.0,20,6.9,23.0,39.2
员工_105,13873203558,研发部,5131.0,17,5.4,19.0,28.1
员工_106,13847407771,市场部,8544.0,20,24.6,16.0,41.1
员工_107,13893122310,研发部,8857.0,15,4.5,32.0,55.0
员工_108,13837009224,研发部,9456.0,16,8.7,17.0,33.7
员工_109,13861327755,销售部,9113.0,21,10.0,26.0,50.0
员工_110,13889018913,HR部,10215.0,17,0.1,28.0,48.2
员工_111,13817130144,销售部,9050.0,22,10.9,12.0,19.6
员工_112,13814545583,销售部,7802.0,16,2.0,20.0,28.3
员工_113,13864079037,研发部,7890.0,17,32.5,17.0,36.7
员工_114,13864474455,销售部,7577.0,19,1.6,17.0,38.8
员工_115,13851542436,HR部,8443.0,18,5.4,23.0,38.2
员工_116,13856626914,研发部,6354.0,19,0.9,17.0,36.1
员工_117,13863933927,销售部,8511.0,20,57.7,18.0,50.8
员工_118,13862453338,市场部,7870.0,16,7.0,19.0,31.3
员工_119,13824881728,市场部,8413.0,20,9.0,18.0,38.5
员工_120,13844045666,销售部,8418.0,18,0.7,14.0,26.5
员工_121,13822722094,市场部,4322.0,17,13.9,24.0,42.7
员工_122,13832178434,研发部,6648.0,18,2.4,25.0,31.6
员工_123,13856321408,研发部,7837.0,15,22.8,22.0,52.5
员工_124,13822796932,市场部,7917.0,18,2.3,18.0,34.6
员工_125,13884023414,市场部,8389.0,15,2.1,16.0,30.6
员工_126,13836063245,市场部,8454.0,18,0.4,16.0,24.4
员工_127,13849443226,HR部,10274.0,21,6.4,32.0,53.5
员工_128,13883619289,销售部,8469.0,15,8.3,25.0,41.2
员工_129,13817887739,销售部,7530.0,16,0.7,16.0,18.8
员工_130,13870736972,市场部,5601.0,20,14.9,21.0,38.0
员工_131,13871071026,销售部,5947.0,22,6.0,18.0,29.8
员工_132,13810769598,市场部,8803.0,20,7.4,23.0,45.4
员工_133,13899178975,市场部,9591.0,19,5.8,23.0,28.9
员工_134,13859007334,市场部,10312.0,20,5.1,25.0,44.0
员工_135,13838433648,研发部,6758.0,17,8.2,16.0,24.3
员工_136,13817971379,研发部,7544.0,21,1.7,21.0,35.2
员工_137,13813331068,研发部,8364.0,18,2.0,11.0,24.4
员工_138,13846810847,销售部,11071.0,19,19.8,14.0,37.3
员工_139,13844428803,研发部,8172.0,17,29.2,24.0,55.6
员工_140,13815654237,销售部,10327.0,17,4.7,15.0,24.4
员工_141,13871553124,销售部,8255.0,15,3.2,16.0,34.6
员工_142,13855816038,研发部,9730.0,20,10.3,20.0,35.3
员工_143,13827750764,销售部,9540.0,16,5.3,23.0,32.0
员工_144,13846898446,研发部,8249.0,22,0.3,15.0,25.0
员工_145,13833841962,研发部,6469.0,16,1.7,3.0,0.4
员工_146,13876834972,市场部,7596.0,19,12.6,16.0,34.4
员工_147,13853156515,研发部,10234.0,21,10.8,26.0,45.5
员工_148,13832993420,研发部,9317.0,16,0.3,22.0,42.0
员工_149,13872190751,销售部,7350.0,18,2.5,27.0,44.2
员工_150,13831970758,市场部,7487.0,16,2.6,14.0,18.6
员工_151,13846513466,研发部,5404.0,19,11.1,12.0,21.2
员工_152,13841288562,销售部,10167.0,22,0.2,22.0,39.3
员工_153,13831351509,研发部,9329.0,16,1.1,21.0,39.3
员工_154,13833484187,研发部,7794.0,18,16.1,22.0,48.4
员工_155,13871777469,销售部,8300.0,15,2.0,25.0,45.4
员工_156,13846093880,销售部,4744.0,21,10.6,22.0,36.0
员工_157,13860441204,销售部,7270.0,19,2.7,22.0,36.8
员工_158,13891752859,市场部,10002.0,15,1.0,24.0,45.8
员工_159,13854066131,HR部,9472.0,15,2.8,23.0,37.0
员工_160,13885415325,销售部,8496.0,15,12.8,24.0,45.6
员工_161,13845563453,研发部,7978.0,17,19.4,25.0,46.0
员工_162,13844755914,市场部,9195.0,21,17.7,28.0,48.9
员工_163,13860873983,研发部,7578.0,22,5.1,17.0,30.8
员工_164,13863892568,销售部,5503.0,20,11.0,22.0,34.0
员工_165,13833637222,研发部,7991.0,21,2.3,18.0,30.1
员工_166,13812484413,研发部,8605.0,17,3.5,16.0,24.4
员工_167,13880016224,HR部,9684.0,20,22.7,17.0,40.5
员工_168,13849449976,市场部,5838.0,21,0.1,22.0,34.5
员工_169,13899583549,销售部,7816.0,15,0.9,22.0,31.7
员工_170,13812235000,销售部,7887.0,19,2.3,22.0,35.5
员工_171,13833685747,研发部,6348.0,20,0.3,19.0,30.0
